timestamp,original_user_message,event_title,user_selected_calendar_name
2025-11-17T23:45:05.672626,Arnav Thakare's Birthday,Arnav Thakare's Birthday,Birthdays
2025-11-17T23:45:05.672978,Ansh Tharwani's Birthday,Ansh Tharwani's Birthday,Birthdays
2025-11-17T23:45:05.673170,Eeshan Folane’s birthday ,Eeshan Folane’s birthday ,Birthdays
2025-11-17T23:45:05.673341,Dad's Birthday,Dad's Birthday,Birthdays
2025-11-17T23:45:05.673516,Mom-Dad's Aniversary ,Mom-Dad's Aniversary ,Birthdays
2025-11-17T23:45:05.673704,Shonn More's Birthday,Shonn More's Birthday,Birthdays
2025-11-17T23:45:05.673860,Swarit Verma's Birthday,Swarit Verma's Birthday,Birthdays
2025-11-17T23:45:05.674009,Arnav Thakare's Birthday,Arnav Thakare's Birthday,Birthdays
2025-11-17T23:45:05.674920,Champa Ba’s Birthday ,Champa Ba’s Birthday ,Birthdays
2025-11-17T23:45:05.675319,Adnan Kashi's Birthday,Adnan Kashi's Birthday,Birthdays
2025-11-17T23:45:05.675653,Vatsal Vegad's Birthday,Vatsal Vegad's Birthday,Birthdays
2025-11-17T23:45:05.675830,Ansh Tharwani's Birthday,Ansh Tharwani's Birthday,Birthdays
2025-11-17T23:45:05.676002,Devansh Thakkar's Birthday,Devansh Thakkar's Birthday,Birthdays
2025-11-17T23:45:05.676168,Shobhit Nirwan's Birthday,Shobhit Nirwan's Birthday,Birthdays
2025-11-17T23:45:05.676316,Dad's Birthday,Dad's Birthday,Birthdays
2025-11-17T23:45:05.676505,Mom-Dad's Aniversary ,Mom-Dad's Aniversary ,Birthdays
2025-11-17T23:45:05.676758,Swarit Verma's Birthday,Swarit Verma's Birthday,Birthdays
2025-11-17T23:45:05.677388,Shonn More's Birthday,Shonn More's Birthday,Birthdays
2025-11-17T23:45:05.677915,Adhya Shree's Birthday,Adhya Shree's Birthday,Birthdays
2025-11-17T23:45:05.678817,Arnav Thakare's Birthday,Arnav Thakare's Birthday,Birthdays
2025-11-17T23:45:05.679193,Champa Ba’s Birthday ,Champa Ba’s Birthday ,Birthdays
2025-11-17T23:45:05.679648,Adnan Kashi's Birthday,Adnan Kashi's Birthday,Birthdays
2025-11-17T23:45:05.679851,Vatsal Vegad's Birthday,Vatsal Vegad's Birthday,Birthdays
2025-11-17T23:45:05.680108,Ansh Tharwani's Birthday,Ansh Tharwani's Birthday,Birthdays
2025-11-17T23:45:05.680355,Devansh Thakkar's Birthday,Devansh Thakkar's Birthday,Birthdays
2025-11-17T23:45:05.680602,Dad's Birthday,Dad's Birthday,Birthdays
2025-11-17T23:45:05.680847,Mom-Dad's Aniversary ,Mom-Dad's Aniversary ,Birthdays
2025-11-17T23:45:05.681087,Swarit Verma's Birthday,Swarit Verma's Birthday,Birthdays
2025-11-17T23:45:05.681420,Shonn More's Birthday,Shonn More's Birthday,Birthdays
2025-11-17T23:45:05.681626,Adhya Shree's Birthday,Adhya Shree's Birthday,Birthdays
2025-11-17T23:45:05.681899,Pranav's Birthday,Pranav's Birthday,Birthdays
2025-11-17T23:45:05.682144,Kaavya's Birthday,Kaavya's Birthday,Birthdays
2025-11-17T23:45:06.666130,Exercise ,Exercise ,My Routine
2025-11-17T23:45:06.666714,Wake up and Get Ready,Wake up and Get Ready,My Routine
2025-11-17T23:45:06.666946,Book Reading,Book Reading,My Routine
2025-11-17T23:45:06.667125,Exercise,Exercise,My Routine
2025-11-17T23:45:06.667294,Rich Dad Poor Dad kukufm,Rich Dad Poor Dad kukufm,My Routine
2025-11-17T23:45:06.667459,Flute Practice ,Flute Practice ,My Routine
2025-11-17T23:45:06.667624,School,School,My Routine
2025-11-17T23:45:06.667784,Sanskrit Tuitions,Sanskrit Tuitions,My Routine
2025-11-17T23:45:06.667970,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.668142,School,School,My Routine
2025-11-17T23:45:06.668312,Exercise,Exercise,My Routine
2025-11-17T23:45:06.668482,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.668642,Exercise and bath,Exercise and bath,My Routine
2025-11-17T23:45:06.668812,Book Reading,Book Reading,My Routine
2025-11-17T23:45:06.668968,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.669126,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.669284,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.669445,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.669604,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.669764,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.669886,Wakeup and Get Ready,Wakeup and Get Ready,My Routine
2025-11-17T23:45:06.670030,Exercise,Exercise,My Routine
2025-11-17T23:45:06.670179,Reading,Reading,My Routine
2025-11-17T23:45:06.670304,Wakeup and Get Ready,Wakeup and Get Ready,My Routine
2025-11-17T23:45:06.670559,Book Reading,Book Reading,My Routine
2025-11-17T23:45:06.670701,Exercise,Exercise,My Routine
2025-11-17T23:45:06.670837,Wakeup and Get Ready,Wakeup and Get Ready,My Routine
2025-11-17T23:45:06.670961,Exercise,Exercise,My Routine
2025-11-17T23:45:06.671080,Book Reading,Book Reading,My Routine
2025-11-17T23:45:06.671215,School,School,My Routine
2025-11-17T23:45:06.671332,Exercise ,Exercise ,My Routine
2025-11-17T23:45:06.671469,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.671592,Book Reading,Book Reading,My Routine
2025-11-17T23:45:06.671716,School,School,My Routine
2025-11-17T23:45:06.671847,Exercise,Exercise,My Routine
2025-11-17T23:45:06.671969,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.672087,School,School,My Routine
2025-11-17T23:45:06.672220,Sanskrit Tuitions,Sanskrit Tuitions,My Routine
2025-11-17T23:45:06.672340,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.672474,School,School,My Routine
2025-11-17T23:45:06.672595,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.672732,School,School,My Routine
2025-11-17T23:45:06.672859,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.672980,School,School,My Routine
2025-11-17T23:45:06.673099,Sanskrit Tuitions,Sanskrit Tuitions,My Routine
2025-11-17T23:45:06.673218,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.673344,School,School,My Routine
2025-11-17T23:45:06.673469,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.673611,School,School,My Routine
2025-11-17T23:45:06.673734,Exercise,Exercise,My Routine
2025-11-17T23:45:06.673868,Sanskrit Tuitions,Sanskrit Tuitions,My Routine
2025-11-17T23:45:06.673989,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.674108,School,School,My Routine
2025-11-17T23:45:06.674292,Exercise,Exercise,My Routine
2025-11-17T23:45:06.674588,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.674789,School,School,My Routine
2025-11-17T23:45:06.674945,Exercise,Exercise,My Routine
2025-11-17T23:45:06.675105,Tuitions,Tuitions,My Routine
2025-11-17T23:45:06.675272,Wakeup and Routine,Wakeup and Routine,My Routine
2025-11-17T23:45:06.675425,Exercise,Exercise,My Routine
2025-11-17T23:45:06.675573,Duolingo and Read - Building and StoryBrand,Duolingo and Read - Building and StoryBrand,My Routine
